,City,State,2010 census,2016 land area km2,2016 land area sq mi,2016 population density km2,2016 population density sq mi,Area code,Counties,Country,County,Demonym,Density,Elevation,Estimate,Founded by,Incorporated,Land,Mayor,Metro,Rank,Summer,Time zone,Type,Water,Website,change,location,ZIP,FIPS,Finance Director,GNIS,Historic,Airports
265,Lowell,Massachusetts,"106,519",35.2 ,13.6 ,"3,139","8,129",978 / 351,,United States,Middlesex,Lowellian,"8,077/sq mi (3,119/km2)",102 ft (31 m),"111,670,111,472",,1826,13.8 sq mi (35.7 km2),William Samaras,,,UTC−4 (Eastern),UTC−5 (Eastern),Manager-City council,0.8 sq mi (2.0 km2),"City of Lowell, Massachusetts",+4.84%,42°38′20″N 71°19′16″W﻿ ,1850-1854,25-37000,,0611832,,
266,Antioch,California,"102,372",76.1 ,29.4 ,"1,456","3,772",925,,United States,Contra Costa,,"3,805.42/sq mi (1,469.27/km2)",43 ft (13 m),"111,535,111,674",,"February 6, 1872[1]",29.35 sq mi (76.01 km2),Sean Wright[2],"7,468,390",3rd in Contra Costa County60th in California,UTC−7 (PDT),UTC−8 (Pacific),,0.78 sq mi (2.01 km2)  2.52%,www.ci.antioch.ca.us,+8.95%,37°58′45″N 121°47′46″W﻿ ,94509-94531,06-02252,,"1657936, 2409715",,
267,West Palm Beach,Florida,"99,919",142.7 ,55.1 ,758,"1,963",561,,United States,Palm Beach,,"1,961.75/sq mi (757.44/km2)",13 ft (6.4 m),"111,398,110,222",,"July 21, 1903[1]",55.13 sq mi (142.80 km2),Keith James[2] (D),"5,828,191 (US: 8th)",US: 275th,UTC−4 (EDT),UTC−5 (EST),Mayor-Commission,2.56 sq mi (6.63 km2),http://wpb.org,+11.49%,26°44′47″N 80°07′30″W﻿ ,33401-33422,12-76600,,0293097[6],,
268,Peoria,Illinois,"115,007",124.8 ,48.2 ,915,"2,371",309,,United States,Peoria,,"2,369.12/sq mi (914.73/km2)",509 ft (155 m),"111,388,112,883",,"1845,1835",48.23 sq mi (124.92 km2),Jim Ardis,"373,590",,UTC−5 (CDT),UTC−6 (CST),Council-Manager,2.22 sq mi (5.75 km2),www.peoriagov.org,−3.15%,40°45′05″N 89°37′03″W﻿ ,61625-61643,17-59000,,,,
269,Everett,Washington,"103,019",86.2 ,33.3 ,"1,264","3,275",425,,United States,Snohomish,,"3,315.83/sq mi (1,280.25/km2)",,"111,262,110,079",,"May 4, 1893",33.20 sq mi (85.98 km2),Cassie Franklin,"3,733,580 (US: 15th)",US: 272nd,UTC−7 (PDT),UTC−8 (PST),Mayor–council,14.71 sq mi (38.11 km2),everettwa.gov,+8.00%,47°57′24″N 122°11′29″W﻿ ,98201-98208,53-22640,,1512198[6],,
270,Ventura,California,"106,433",56.5 ,21.8 ,"1,941","5,027",805,,United States,Ventura,Venturan,"5,077.45/sq mi (1,960.88/km2)",36 ft (11 m),"111,128,110,790",,"April 2, 1866[1]",21.82 sq mi (56.50 km2),Neal Andrews[2],,4th in Ventura County58th in California,UTC−7 (PDT),UTC−8 (Pacific),,10.43 sq mi (27.03 km2)  32.53%,cityofventura.net,+4.41%,34°16′04″N 119°15′15″W﻿ ,93001-93009,06-65042,,"1667934, 2411779",,Oxnard Airport (OXR)commercial service
271,Centennial,Colorado,"100,377",76.4 ,29.5 ,"1,439","3,727",Both 303 and 720,,United States,Arapahoe County[1],,"3,720.58/sq mi (1,436.54/km2)","5,830 ft (1,777 m)","110,831,109,932",,2001,29.55 sq mi (76.53 km2),Cathy Noon,"2,697,476 (US: 19th)",US: 268th,UTC-6 (MDT),UTC-7 (MST),Home Rule Municipality[1],0.15 sq mi (0.38 km2),www.centennialco.gov,+10.41%,39°35′26″N 104°52′09″W﻿ ,,08-12815,,,,
272,Lakeland,Florida,"97,422",170.7 ,65.9 ,624,"1,615",863,,United States,Polk,Lakelander,"1,614.68/sq mi (623.43/km2)",197 ft (60 m),"110,516,108,054",,"January 1, 1885",65.91 sq mi (170.70 km2),Bill Mutz,"584,383",,UTC-4 (EDT),UTC-5 (EST),Commission-Manager,9.02 sq mi (23.36 km2)  10.9%,http://www.lakelandgov.net/,+13.44%,28°03′20″N 81°57′18″W﻿ ,33801-33815,12-38250[4],,0294459[5],,
273,Gresham,Oregon,"105,594",60.3 ,23.3 ,"1,848","4,786",503 and 971,,United States,Multnomah,Greshamite[5],"4,551.5/sq mi (1,757.3/km2)",325[2] ft (91.7 m),"110,158,111,523",,1905,23.20 sq mi (60.09 km2),Shane Bemis (R),"2,314,554",US: 254th,UTC−7 (Pacific),UTC−8 (Pacific),,0.23 sq mi (0.60 km2),www.greshamoregon.gov,+4.32%,45°30′08″N 122°26′30″W﻿ ,97030-97233,41-31250,,1121424[6],,
274,Richmond,California,"103,701",78.0 ,30.1 ,"1,409","3,648",510,,United States,Contra Costa,,"3,654.10/sq mi (1,410.85/km2)",46 ft (14 m),"110,146,109,813",,"August 7, 1905[1]",30.05 sq mi (77.83 km2),,"4,335,391",2nd in Contra Costa County61st in California,UTC−7 (PDT),UTC−8 (Pacific),Council-Manager[2],22.46 sq mi (58.17 km2)  42.71%,www.ci.richmond.ca.us,+6.21%,37°57′08″N 122°21′38″W﻿ ,94801-94850,06-60620,,"1659507, 2410939",,
275,Billings,Montana,"104,170",113.2 ,43.7 ,975,"2,525",406,,United States,Yellowstone,,"2,400/sq mi (920/km2)","3,123 ft (952 m)","109,550,109,642",1877,1882,43.41 sq mi (112.43 km2),Bill Cole,"170,498 (US: 245th)",US: 275th,UTC−6 (Mountain),UTC−7 (Mountain),Mayor-Council,0.11 sq mi (0.28 km2),www.cityofbillings.net,+5.16%,45°47′19″N 108°33′00″W﻿ ,,30-06550,,0802034,,
276,Inglewood,California,"109,673",23.6 ,9.1 ,"4,700","12,160","310/424, 213/323",,United States,Los Angeles,,"12,202.69/sq mi (4,711.52/km2)",131 ft (40 m),"109,419,110,654",,"February 7, 1908[1]",9.07 sq mi (23.49 km2),,,12th in Los Angeles County56th in California,UTC−7 (PDT),UTC−8 (Pacific),Council-Manager-Commission,0.03 sq mi (0.06 km2)  0.27%,www.cityofinglewood.org,−0.23%,33°57′22″N 118°20′39″W﻿ ,90301-90312,06-36546,,"1660799, 2410106",,Los Angeles International AirportLAX (Major/International)
277,Broken Arrow,Oklahoma,"98,850",159.8 ,61.7 ,672,"1,741",539/918,"Tulsa, Wagoner",United States,,,"2,200/sq mi (840/km2)",755 ft (230 m),"109,171,106,653",1902,1903,45.0 sq mi (116.5 km2),Craig Thurmond,"961,561 (US: 55th)",US: 279th,UTC−5 (CDT),UTC−6 (CST),Council-Manager,0.6 sq mi (1.6 km2),City of Broken Arrow,+10.44%,36°02′11″N 95°46′52″W﻿ ,,40-09050,,1090512[3],,
278,Sandy Springs,Georgia,"93,853",97.6 ,37.7 ,"1,083","2,804",404/678/770/470,,United States,Fulton,,"2,707/sq mi (1,045.3/km2)","1,093 ft (333 m)","108,797,106,739[4]",,December 2005[1],37.6 sq mi (97.5 km2),Rusty Paul[2],,,UTC−4 (EDT),UTC−5 (EST),,0.9 sq mi (2.3 km2),www.sandyspringsga.gov,+15.92%,33°55′53″N 84°22′07″W﻿ ,30319-30358,13-68516,,0332975[7],,
279,Jurupa Valley,California,0,111.1 ,42.9 ,932,"2,414",951,,United States of America,Riverside,,"2,411.24/sq mi (930.99/km2)",,"108,393,106,028",,"July 1, 2011[1]",42.94 sq mi (111.22 km2),Verne Lauritzen,"4,527,837",,UTC-7 (PDT),UTC-8 (PST),Council-Manager,0.74 sq mi (1.91 km2),jurupavalley.org,NA[ab],34°00′09″N 117°28′03″W﻿ ,91752-92509,06-37692,,2702867,,
280,Hillsboro,Oregon,"91,611",64.7 ,25.0 ,"1,624","4,207",503 and 971,,United States,Washington,Hillsboroans[7],"3,833.1/sq mi (1,480.0/km2)",194 ft (60 m),"108,389,106,894",,"October 19, 1876",24.24 sq mi (62.8 km2),Steve Callaway,,1st in Washington County5th in Oregon(US: 285th),UTC−7 (PDT),UTC−8 (PST),Council–manager,0.01 sq mi (0.03 km2),www.hillsboro-oregon.gov,+18.31%,45°31′41″N 122°56′09″W﻿ ,97006-97124,41-34100[5],,1163049[6],,
281,Waterbury,Connecticut,"110,366",73.8 ,28.5 ,"1,467","3,799",203,,United States,New Haven,,"3,869.9/sq mi (1,494.2/km2)","270 ft (80 m),820 ft (250 m),220 ft (70 m)","108,093,108,272",,1853,28.5 sq mi (73.9 km2),Neil O'Leary (D),,,UTC−4 (Eastern),UTC−5 (Eastern),Mayor-council,0.4 sq mi (1.1 km2),www.waterburyct.org,−2.06%,41°33′31″N 73°02′12″W﻿ ,6701-6720,09-80000,,0211851,,Waterbury–Oxford Airport
282,Santa Maria,California,"99,553",59.1 ,22.8 ,"1,800","4,662",805,,United States,Santa Barbara,,"4,665.53/sq mi (1,801.36/km2)",217 ft (66 m),"107,408,108,470",1874[citation needed],"September 12, 1905[1]",22.78 sq mi (59.01 km2),Alice Patino[3],"423,895",,UTC−7 (PDT),UTC−8 (Pacific),Council-manager[2],0.64 sq mi (1.65 km2)  2.73%,www.ci.santa-maria.ca.us,+7.89%,34°56′00″N 120°26′38″W﻿ ,93454-93458,06-69196,,"1652791, 2411824",,
283,Boulder,Colorado,"97,385",64.2 ,24.8 ,"1,683","4,358",Both 303 and 720,,United States,Boulder[1],Boulderite,"4,351.62/sq mi (1,680.14/km2)","5,328 ft (1,624 m)","107,353,108,090",,1871-11-04[3],24.84 sq mi (64.33 km2),Suzanne Jones,"313,333 (US: 160th)",US: 278th,UTC-6 (MDT),UTC-7 (MST),Home rule municipality[1],1.01 sq mi (2.61 km2),bouldercolorado.gov,+10.24%,40°01′37″N 105°15′07″W﻿ ,80314-80329,08-07850,,,,
284,Greeley,Colorado,"92,889",123.8 ,47.8 ,840,"2,176",970,,United States,Weld[1],,"2,175.80/sq mi (840.08/km2)","4,675 ft (1,425 m)","107,348,103,990",1869,1885-11-15[3],47.79 sq mi (123.79 km2),John Gates [4],,,UTC−6 (MDT),UTC−7 (MST),Home Rule Municipality[1],0.12 sq mi (0.31 km2),City of Greeley Colorado,+15.57%,40°24′55″N 104°46′11″W﻿ ,,08-32155,,0180649,,
285,Daly City,California,"101,123",19.7 ,7.6 ,"5,409","14,009","415/628, 650",,United States,San Mateo,,"13,936.13/sq mi (5,380.52/km2)",344 ft (105 m),"107,008,106,472",,"March 22, 1911[1]",7.64 sq mi (19.79 km2),Raymond A. Buenaventura[2],,1st in San Mateo County65th in California,UTC−7 (PDT),UTC−8 (Pacific),Council-Manager,0.00 sq mi (0.00 km2)  0%,www.dalycity.org,+5.82%,37°42′03″N 122°27′54″W﻿ ,94014-94017,06-17918[7],,"1658369, 2410291[6]",,
286,Meridian,Idaho,"75,092",77.2 ,29.8 ,"1,384","3,584",208,,United States,Ada,,"3,217.03/sq mi (1,242.10/km2)","2,605 ft (794 m)","106,804,99,926",1893,1903,29.72 sq mi (76.99 km2),Tammy de Weerd,"709,845",,UTC−6 (Mountain),UTC−7 (Mountain),,0.06 sq mi (0.16 km2),www.meridiancity.org,+42.23%,43°36′51″N 116°23′56″W﻿ ,83642-83680,16-52120,,0396879,,
287,Lewisville,Texas,"95,290",95.1 ,36.7 ,"1,101","2,852","214, 469, 972[4]","Denton, Dallas[1]",United States,,,"2,618/sq mi (1,011/km2)",525 ft (170 m),"106,586,104,039 (US: 288th)",,"January 15, 1925 (1925-01-15)[2]",36.4 sq mi (94.27 km2),,,,UTC−5 (Central),UTC−6 (Central),Council–manager,6.07 sq mi (15.72 km2),www.cityoflewisville.com,+11.85%,33°02′48″N 96°58′54″W﻿ ,75029-75077,42508[3],,1339860[5],,
288,Davie,Florida,"91,992",90.4 ,34.9 ,"1,127","2,919","754, 954",,United States of America,Broward,,"2,918.77/sq mi (1,126.95/km2)",9 ft (1 m),"106,558,105,149",,"September 19, 1963[1],November 16, 1925[1]",34.90 sq mi (90.40 km2),Judy Paul (D),"5,564,635",,UTC-4 (EDT),UTC-5 (EST),Council-Manager,0.83 sq mi (2.16 km2)  2.32%,www.davie-fl.gov,+15.83%,26°04′45″N 80°17′06″W﻿ ,33312-33355,12-16475[4],,0281316[5],,
289,West Covina,California,"106,098",41.4 ,16.0 ,"2,600","6,740","626, 909",,United States,Los Angeles,,"6,723.21/sq mi (2,595.81/km2)",384 ft (117 m),"106,311,107,847",,"February 17, 1923[1]",16.04 sq mi (41.55 km2),Lloyd Johnson[2],,13th in Los Angeles County62nd in California,UTC−7 (PDT),UTC−8 (PST),Council-Manager[2],0.05 sq mi (0.12 km2)  0.30%,www.westcovina.org,+0.20%,34°03′21″N 117°54′36″W﻿ ,91790-91793,06-84200,,"1652809, 2412219",,
290,League City,Texas,"83,560",132.6 ,51.2 ,769,"1,992",281/346/713/832,Galveston,United States of America,,,"1,989/sq mi (768.1/km2)",20 ft (6 m),"106,244,102,010 (US: 297th)",,1961[1],51.3 sq mi (132.8 km2),Pat Hallisey,,,UTC-5 (CDT),UTC-6 (Central (CST)),Council-Manager,1.7 sq mi (4.4 km2),http://www.leaguecitytx.gov,+27.15%,29°29′24″N 95°06′33″W﻿ ,,48-41980[3],,1339753[4],,
291,Tyler,Texas,"96,900",146.6 ,56.6 ,715,"1,852",430/903,,United States,Smith,Tylerite,"1,800/sq mi (690/km2)",544 ft (165 m),"105,729,104,998",1846,,54.2 sq mi (140.5 km2),Martin Heines (D),"216,080 (US: 200th)",US: 287th,UTC−5 (Central),UTC−6 (Central),Council-Manager,0.1 sq mi (0.3 km2),www.cityoftyler.org,+9.11%,32°19′02″N 95°18′21″W﻿ ,75700-75700,48-74144[3],,1348998[4],,
292,Norwalk,California,"105,549",25.1 ,9.7 ,"4,226","10,946",562,,United States,Los Angeles,,"10,936.04/sq mi (4,222.62/km2)",92 ft (28 m),"105,120,106,178",,"August 26, 1957[1]",9.71 sq mi (25.15 km2),,,14th in Los Angeles County64th in California(US: 283rd),UTC−7 (PDT),UTC−8 (Pacific),Council/Manager[2],0.04 sq mi (0.10 km2)  0.40%,www.norwalk.org,−0.41%,33°54′27″N 118°05′01″W﻿ ,90650-90659,06-52526,Jana Stuard,"1661123, 2411281",,Los Angeles International AirportLAX (Major/International)
293,San Mateo,California,"97,207",31.3 ,12.1 ,"3,317","8,592",650,,United States,San Mateo,,"8,570.40/sq mi (3,309.14/km2)",46 ft (14 m),"105,025,104,748",,"September 4, 1894[1]",12.13 sq mi (31.42 km2),Diane Papan[2],,,UTC−7 (PDT),UTC−8 (Pacific),,3.75 sq mi (9.72 km2)  23.63%,www.cityofsanmateo.org,+8.04%,37°33′37″N 122°18′38″W﻿ ,94401-94497,06-68252,,"1659584, 2411800",,San Francisco International AirportSFO (Major/International)
294,Green Bay,Wisconsin,"104,057",117.6 ,45.4 ,894,"2,316",920,,United States,Brown,,"2,311.41/sq mi (892.43/km2)",581 ft (177 m),"104,879,105,116",,,45.48 sq mi (117.79 km2),Eric Genrich,"320,050 (US: 157th)",US: 272nd,UTC−5 (CDT),UTC−6 (Central),,10.28 sq mi (26.64 km2),greenbaywi.gov,+0.79%,44°31′15″N 87°59′03″W﻿ ,54311-54344,55-31000[6],,1565801[7],,
295,Wichita Falls,Texas,"104,553",187.0 ,72.2 ,560,"1,450",940,,United States,Wichita,,"1,500/sq mi (570/km2)",948 ft (289 m),"104,576,104,898",,,70.66 sq mi (183.0 km2),Stephen Santellana (R)[1],"151,201 (US: 268th)",US: 288th,UTC−5 (CDT),UTC−6 (CST),Council-manager,0.04 sq mi (0.1 km2),City of Wichita Falls,+0.02%,33°54′24″N 98°31′33″W﻿ ,,48-79000[5],,,,
296,Sparks,Nevada,"90,264",93.0 ,35.9 ,"1,080","2,810",775,,United States,Washoe,,"2,500/sq mi (970/km2)","4,413 ft (1,345 m)","104,246,100,888",1904,"March 15, 1905",35.8 sq mi (92.6 km2),Ron Smith (R),,,UTC−7 (PDT),UTC−8 (PST),Council-manager,0.2 sq mi (0.4 km2),cityofsparks.us,+15.49%,39°33′16″N 119°44′08″W﻿ ,89431-89437,32-68400,,0856391,,
297,Lakewood,New Jersey,"92,843",64.0 ,24.7 ,"1,575","4,079",732[18],,United States,Ocean,,"3,777.7/sq mi (1,458.6/km2)",49 ft (15 m),"104,157,102,682",,"March 23, 1892",24.577 sq mi (63.653 km2),"Raymond Coles (D) (term ends December 31, 2019)[5][6]",,5th of 566 in state1st of 33 in county298th in U.S. (2017),UTC-4 (Eastern (EDT)),UTC-5 (Eastern (EST)),Township,0.405 sq mi (1.050 km2)  1.62%,www.lakewoodnj.gov,+12.19%,40°04′38″N 74°12′01″W﻿ ,,34-38550,,882076,,
298,Burbank,California,"103,340",45.1 ,17.4 ,"2,318","6,003",747/818,,United States,Los Angeles,,"6,018.61/sq mi (2,323.77/km2)",607 ft (185 m),"103,695,104,834","May 1, 1887","July 8, 1911[1]",17.35 sq mi (44.95 km2),Emily Gabel-Luddy[2],,15th in Los Angeles County66th in California,UTC−7 (PDT),UTC−8 (Pacific),Council-manager[2],0.04 sq mi (0.09 km2)  0.22%,burbankca.gov,+0.34%,34°11′24″N 118°19′35″W﻿ ,91501-91526,06-08954,,"1652677, 2409939",,"Los Angeles International AirportLAX (Major/International),Hollywood Burbank Airport-BUR (Regional) Van Nuys Airport-VNY (Regional) Long Beach Airport-LGB (Regional)"
299,Rialto,California,"99,171",57.8 ,22.3 ,"1,789","4,633",909[10],,United States,San Bernardino,,"4,637.80/sq mi (1,791.11/km2)","1,257 ft (383 m)","103,440,103,562",,"November 17, 1911[1]",22.33 sq mi (57.82 km2),,,,UTC−7 (PDT),UTC−8 (Pacific Time Zone),,0.01 sq mi (0.04 km2)  0.06%,www.rialtoca.gov,+4.30%,34°06′42″N 117°23′18″W﻿ ,92376-92376,06-60466,,"1661306, 2410931",,
300,Allen,Texas,"84,246",70.2 ,27.1 ,"1,434","3,715","214, 469, 972",,United States,Collin,,"3,108/sq mi (1,200.1/km2)",659 ft (201 m),"103,383,94,179",,1953,,,,,UTC-5 (CDT),UTC-6 (CST),Council–manager,,City of Allen official website,+22.72%,33°05′59″N 96°39′47″W﻿ ,75002-75013,48-01924[5],,1329377[6],,
301,El Cajon,California,"99,478",37.6 ,14.5 ,"2,763","7,156",619,,United States,San Diego,,"7,175.00/sq mi (2,769.03/km2)",433 ft (132 m),"103,241,103,894",,"November 12, 1912[1]",14.48 sq mi (37.52 km2),Bill Wells[2],,,UTC−7 (PDT),UTC−8 (Pacific),,0.00 sq mi (0.00 km2)  0%,www.ci.el-cajon.ca.us,+3.78%,32°48′06″N 116°57′37″W﻿ ,92019-92090,06-21712,,"1652701, 2410406",,
302,Las Cruces,New Mexico,"97,618",199.2 ,76.9 ,511,"1,323",575,,United States,Doña Ana,,,"3,900 ft (1,200 m)","102,926,101,712",1849,1907[1]:135,76.5 sq mi (198.1 km2),Ken Miyagishima,"213,233 (US: 68th) 1,058,667 (El Paso–Las Cruces CSA)",,UTC-6 (DST),UTC-7 (Mountain),Council–manager,0.2 sq mi (0.4 km2),www.las-cruces.org,+5.44%,32°19′35″N 106°47′23″W﻿ ,,35-39380,,0899715,,"El Paso International AirportELP (Major/International),Las Cruces International AirportLRU (General Aviation)"
303,Renton,Washington,"90,927",60.6 ,23.4 ,"1,666","4,314",425,,United States,King,,"4,325.97/sq mi (1,670.29/km2)",46–410 ft (14–125 m),"102,153,101,379",,,23.43 sq mi (60.70 km2),Denis Law,,US: 304th,UTC−7 (PDT),UTC−8 (PST),,0.18 sq mi (0.46 km2),www.rentonwa.gov,+12.35%,47°28′34″N 122°11′31″W﻿ ,98055-98059,53-57745,,1512599[4],,
304,Davenport,Iowa,"99,685",162.9 ,62.9 ,630,"1,631",563,,United States,Scott,,"1,584/sq mi (611.4/km2)",580 ft (180 m),"102,085,102,612",,"January 25, 1839",62.95 sq mi (163.04 km2),Frank Klipsch [2],"382,630 (135th)
474,226 (90th)",3rd in Iowa(US: 296th),UTC−5 (CDT),UTC−6 (CST),Mayor–council,2.13 sq mi (5.52 km2),www.cityofdavenportiowa.com,+2.41%,41°33′15″N 90°36′14″W﻿ ,52801-52809,19-19000,,,,
305,South Bend,Indiana,"101,168",107.2 ,41.4 ,949,"2,457",574,,United States,St. Joseph,,"2,457.37/sq mi (948.79/km2)",692 ft (211 m),"101,860,101,735",,1865,41.40 sq mi (107.23 km2),Pete Buttigieg (D),"318,586 (US: 152nd)",,UTC−4 (EDT),UTC−5 (EST),Strong Mayor-Council,0.42 sq mi (1.08 km2),www.southbendin.gov,+0.68%,41°40′37″N 86°16′08″W﻿ ,46601-46699,18-71000,,452796,,
306,Vista,California,"93,834",48.4 ,18.7 ,"2,099","5,436",442/760,,United States of America,San Diego,,"5,442.13/sq mi (2,101.25/km2)",325 ft (99 m),"101,224,101,659",,"January 28, 1963[1]",18.68 sq mi (48.38 km2),Judy Ritter[2],,,UTC−7 (PDT),UTC−8 (Pacific Time Zone),Council-Manager,0.00 sq mi (0.00 km2)  0%,www.cityofvista.com,+7.88%,33°11′22″N 117°14′19″W﻿ ,92081-92085,06-82996,,"1661645, 2412161",,
307,Tuscaloosa,Alabama,"90,468",185.7 ,71.7 ,540,"1,399",205,,United States,Tuscaloosa,,"1,627.03/sq mi (628.20/km2)",222 ft (68 m),"101,113,100,287",,"December 13, 1819[1]",61.64 sq mi (159.64 km2),Walter Maddox (D),"235,628 (US: 190th, AL: 5th)",US: 313thAL: 5th,UTC−5 (CDT),UTC−6 (CST),Mayor-Council,10.06 sq mi (26.06 km2),www.tuscaloosa.com,+11.77%,33°12′23″N 87°32′05″W﻿ ,,01-77256,,0153742,,
308,Clinton,Michigan,"96,796",72.8 ,28.1 ,"1,380","3,573",586,,United States,Macomb,,"3,432.5/sq mi (2,068.3/km2)",876 ft (267 m),"100,800",,,28.2 sq mi (46.8 km2),,,,UTC-4 (EDT),UTC-5 (Eastern (EST)),,0.04 sq mi (0.2 km2)  0.11%,Official website,+4.14%,42°35′25″N 82°55′01″W﻿ ,48035-48038,26-16500[1],,1626099[2],,
309,Edison,New Jersey,"99,967",78.0 ,30.1 ,"1,309","3,389",732 and 908[17],,United States,Middlesex,,"3,339.0/sq mi (1,289.2/km2)",39 ft (12 m),"100,693,102,450",,"March 17, 1870 (as Raritan Township)",29.940 sq mi (77.543 km2),"Thomas Lankey (D, term ends December 31, 2017)[4][5]",,5th of 566 in state1st of 25 in county[14]298th in U.S. (2016)[citation needed],UTC−4 (Eastern (EDT)),UTC−5 (Eastern (EST)),Faulkner Act Mayor-Council,0.698 sq mi (1.808 km2)  2.28%,www.edisonnj.org,+0.73%,40°30′14″N 74°20′58″W﻿ ,8817-8837,3402320230[2][18][19],,0882166[2][20],,
310,Woodbridge,New Jersey,"99,585",60.3 ,23.3 ,"1,680","4,351",732[24],,United States,Middlesex,,"1,656.4/km2 (4,290.0/sq mi)",18 m (59 ft),"100,450,101,965",,"February 21, 1798",60.122 km2 (23.213 sq mi),"John McCormac (D, term ends December 31, 2019)[2][3]",,6th of 566 in state2nd of 25 in county[12],UTC−4 (Eastern (EDT)),UTC−5 (Eastern (EST)),Faulkner Act (Mayor-Council),3.350 km2 (1.294 sq mi)  5.28%,www.twp.woodbridge.nj.us,+0.87%,40°33′39″N 74°17′34″W﻿ ,,34-82000,,882165,,
311,San Angelo,Texas,"93,200",155.1 ,59.9 ,649,"1,681",325,,United States,Tom Green,San Angeloan,"1,640/sq mi (633/km2)","1,844 ft (562 m)","100,215",,,55.9 sq mi (144.8 km2),,"118,182",,UTC−5 (CDT),UTC−6 (CST),Council-Manager,2.3 sq mi (6.1 km2),"The City of San Angelo, Texas",+7.53%,31°26′28″N 100°27′02″W﻿ ,,48-64472[2],,1375953[3],,
312,Kenosha,Wisconsin,"99,218",72.5 ,28.0 ,"1,381","3,577",262,,United States,Kenosha,Kenoshan,"3,578.92/sq mi (1,381.83/km2)",604 ft (184 m),"100,164,99,877",,"Kenosha, February 8, 1850[1]",27.91 sq mi (72.28 km2),John Antaramian[2],,US: 294th,UTC−5 (CDT),UTC−6 (CST),Municipality,0.09 sq mi (0.23 km2),www.kenosha.org,+0.95%,42°34′56″N 87°50′44″W﻿ ,53140-53144,55-39225[6],,1567416[7],,
313,Vacaville,California,"92,428",75.1 ,29.0 ,"1,332","3,449",707,,United States,Solano,,"3,412.23/sq mi (1,317.45/km2)","174 ft (53 m),300 ft (90 m),90 ft (30 m)","100,154,100,032",,"August 9, 1892[1]",28.81 sq mi (74.62 km2),Ron Rowlett[2],,,UTC−7 (PDT),UTC−8 (Pacific),,0.21 sq mi (0.54 km2)  0.74%,www.cityofvacaville.com,+8.36%,38°21′14″N 121°58′22″W﻿ ,95687-95696,06-81554,,"277624, 2412139",,
